date,actual,prediction,error,abs_error,ape_percent
2023-01-16,69804.0,67717.34350147465,-2086.65649852535,2086.65649852535,2.9893079172043864
2023-01-17,74236.0,66376.16267764384,-7859.837322356165,7859.837322356165,10.587635813292964
2023-01-18,76229.0,67271.36712012747,-8957.63287987253,8957.63287987253,11.75095157994009
2023-01-19,67511.0,62368.57667849935,-5142.423321500653,5142.423321500653,7.617163605191234
2023-01-21,78158.0,71766.9265465737,-6391.073453426303,6391.073453426303,8.177120004895599
2023-01-22,72998.0,75370.61538869688,2372.6153886968823,2372.6153886968823,3.2502471145742104
2023-01-23,70413.0,67111.04934048076,-3301.950659519236,3301.950659519236,4.68940488193833
2023-01-24,69221.0,69365.11835167537,144.11835167536628,144.11835167536628,0.20820033180012754
2023-01-25,67493.0,69409.64806398707,1916.6480639870715,1916.6480639870715,2.839773108303189
2023-01-26,58379.0,61695.73544773246,3316.7354477324625,3316.7354477324625,5.6813844836884195
2023-01-28,80094.0,75369.64889754346,-4724.351102456538,4724.351102456538,5.898508131016728
2023-01-29,78639.0,75792.36865366255,-2846.6313463374536,2846.6313463374536,3.619872259740655
2023-01-30,74242.0,68206.0457289874,-6035.954271012597,6035.954271012597,8.130107312589367
2023-01-31,60939.0,67217.66055927041,6278.6605592704145,6278.6605592704145,10.303189352090476
2023-02-01,61368.0,64755.953002197,3387.9530021969986,3387.9530021969986,5.52071601192315
2023-02-02,60609.0,59317.36653007924,-1291.6334699207582,1291.6334699207582,2.1310918674136814
2023-02-03,57147.0,61866.00195761393,4719.001957613931,4719.001957613931,8.257654745855305
2023-02-04,72226.0,74200.62834505193,1974.6283450519259,1974.6283450519259,2.7339577784342564
2023-02-05,78340.0,73729.15837083888,-4610.841629161121,4610.841629161121,5.885679894257239
2023-02-06,71496.0,67871.72805174104,-3624.27194825896,3624.27194825896,5.069195407098244
2023-02-07,65297.0,65788.2751626132,491.27516261319397,491.27516261319397,0.7523701894622938
2023-02-08,63315.0,64290.364690600196,975.3646906001959,975.3646906001959,1.5404954443657837
2023-02-09,59090.0,60170.293780824635,1080.2937808246352,1080.2937808246352,1.8282176016663314
2023-02-11,75728.0,74062.3896478549,-1665.6103521451005,1665.6103521451005,2.199464335708193
2023-02-12,80969.0,76453.48826723087,-4515.511732769126,4515.511732769126,5.576840189170085
2023-02-13,71434.0,68683.54610077571,-2750.4538992242888,2750.4538992242888,3.8503428328587073
2023-02-14,70789.0,66183.11264146565,-4605.887358534354,4605.887358534354,6.506501516527079
2023-02-15,66033.0,66115.68725620866,82.68725620866462,82.68725620866462,0.12522111097279334
2023-02-16,54469.0,60155.20227853975,5686.202278539749,5686.202278539749,10.43933664752382
2023-02-17,65633.0,62178.01084043755,-3454.9891595624504,3454.9891595624504,5.264103666695793
2023-02-18,71350.0,74788.56533982293,3438.5653398229333,3438.5653398229333,4.8192926977195985
2023-02-19,79555.0,77070.86253617571,-2484.137463824285,2484.137463824285,3.1225409638920056
2023-02-20,61374.0,67465.55497407337,6091.5549740733695,6091.5549740733695,9.925302203006762
2023-02-21,53755.0,61673.62371562842,7918.623715628419,7918.623715628419,14.730952870669553
2023-02-22,62101.0,64443.742385936814,2342.7423859368137,2342.7423859368137,3.772471274112838
2023-02-23,57737.0,57935.424799087355,198.4247990873555,198.4247990873555,0.3436700886560706
2023-02-24,61265.0,63465.49318174941,2200.493181749407,2200.493181749407,3.5917623141261847
2023-02-25,76736.0,72801.50737404556,-3934.4926259544445,3934.4926259544445,5.127310031737965
2023-02-26,81170.0,76183.84632357882,-4986.153676421178,4986.153676421178,6.14285287226953
2023-02-27,71387.0,66786.19314815989,-4600.806851840112,4600.806851840112,6.444880513034744
2023-02-28,59392.0,65172.21759733923,5780.2175973392295,5780.2175973392295,9.732316805864812
2023-03-01,60931.0,63593.822575012135,2662.8225750121346,2662.8225750121346,4.370226280566763
2023-03-02,60682.0,57845.15159491868,-2836.8484050813204,2836.8484050813204,4.674942165850368
2023-03-03,58137.0,62527.48065315324,4390.480653153238,4390.480653153238,7.551955988704677
2023-03-04,77522.0,74017.48574393097,-3504.514256069029,3504.514256069029,4.520670591663049
2023-03-05,74994.0,76619.50143808297,1625.501438082967,1625.501438082967,2.1675086514694066
2023-03-07,59751.0,63135.57767019956,3384.5776701995565,3384.5776701995565,5.664470335558495
2023-03-08,61921.0,63186.855405053415,1265.8554050534149,1265.8554050534149,2.044307109144579
2023-03-09,58494.0,59261.390493770625,767.3904937706247,767.3904937706247,1.3119131770277717
2023-03-10,63443.0,61251.650930658856,-2191.349069341144,2191.349069341144,3.4540438966334257
2023-03-11,79561.0,74463.70940964788,-5097.290590352117,5097.290590352117,6.406770390457783
2023-03-12,81458.0,76182.45452673933,-5275.545473260674,5275.545473260674,6.476399461391974
2023-03-13,68365.0,66536.53383627997,-1828.4661637200334,1828.4661637200334,2.6745647096029157
2023-03-14,63285.0,64480.85489935029,1195.8548993502918,1195.8548993502918,1.8896340354749024
2023-03-15,63535.0,63383.35179961559,-151.64820038440666,151.64820038440666,0.23868450520879306
2023-03-16,59776.0,58831.8373489853,-944.1626510147034,944.1626510147034,1.5795012229234198
2023-03-17,62938.0,62611.84949291553,-326.15050708447234,326.15050708447234,0.5182092012527763
2023-03-18,75452.0,74566.37571398263,-885.6242860173661,885.6242860173661,1.173758529949327
2023-03-19,81700.0,77494.5624721703,-4205.437527829694,4205.437527829694,5.147414354748707
2023-03-20,62824.0,67637.48836749587,4813.488367495869,4813.488367495869,7.66186229386201
2023-03-21,57559.0,64036.15533300586,6477.15533300586,6477.15533300586,11.25307134072145
2023-03-22,53146.0,61309.29754775345,8163.297547753449,8163.297547753449,15.360135377551368
2023-03-23,58955.0,58373.16808066239,-581.8319193376083,581.8319193376083,0.9869085223265344
2023-03-24,63507.0,63865.66554659949,358.6655465994918,358.6655465994918,0.5647653748397685
2023-03-25,77856.0,75547.37957165067,-2308.620428349328,2308.620428349328,2.965244076692006
2023-03-26,79415.0,77777.58892770683,-1637.4110722931655,1637.4110722931655,2.0618410530670097
2023-03-27,67886.0,66581.6345466509,-1304.3654533491062,1304.3654533491062,1.9214056703136233
2023-03-28,70605.0,64745.02970720722,-5859.970292792779,5859.970292792779,8.299653413770667
2023-03-29,64754.0,65433.653742986826,679.6537429868258,679.6537429868258,1.0495934505773015
2023-03-30,60699.0,59472.41465817092,-1226.585341829079,1226.585341829079,2.0207669678727473
2023-03-31,61425.0,64147.98204938162,2722.9820493816223,2722.9820493816223,4.433019209412491
2023-04-01,75510.0,74342.19151021099,-1167.8084897890076,1167.8084897890076,1.5465613690756292
2023-04-02,82398.0,76484.84770464241,-5913.152295357591,5913.152295357591,7.176329881013606
2023-04-03,70086.0,67354.81584521491,-2731.1841547850927,2731.1841547850927,3.8969040247482987
2023-04-04,70497.0,65250.19814303979,-5246.801856960214,5246.801856960214,7.44258884344045
2023-04-05,73208.0,65215.31940938806,-7992.680590611941,7992.680590611941,10.917769356644001
2023-04-06,60101.0,61305.22170043536,1204.2217004353588,1204.2217004353588,2.0036633341131744
2023-04-07,71782.0,63341.67133835992,-8440.32866164008,8440.32866164008,11.75828015608381
2023-04-08,85450.0,76377.48719843593,-9072.512801564066,9072.512801564066,10.617335051567075
2023-04-09,86129.0,79116.03583091109,-7012.964169088911,7012.964169088911,8.14239590508297
2023-04-10,69781.0,69271.3584622251,-509.6415377749072,509.6415377749072,0.7303442739068045
